pygame 2.6.1 (SDL 2.28.4, Python 3.12.6)
Hello from the pygame community. https://www.pygame.org/contribute.html

=== POWER PELLET EATEN! ===
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=256
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=256
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=255
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=255
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=255
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=255
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=254
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=254
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=254
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=254
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=253
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=253
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=253
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=253
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=252
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=252
